x,y,z,type,volume,cycle entry,custom:GFP,custom:sample
-160,69.28203230275508,138.8888888888889,zone_3,,,,
-160,103.92304845413263,138.8888888888889,zone_3,,,,
-160,138.56406460551017,138.8888888888889,zone_3,,,,
-140,-121.2435565298214,138.8888888888889,zone_3,,,,
-140,-86.60254037844385,138.8888888888889,zone_3,,,,
-140,-51.96152422706631,138.8888888888889,zone_3,,,,
-140,-17.32050807568877,138.8888888888889,zone_3,,,,
-140,17.32050807568877,138.8888888888889,zone_3,,,,
-140,51.96152422706631,138.8888888888889,zone_3,,,,
-140,86.60254037844385,138.8888888888889,zone_3,,,,
-140,121.2435565298214,138.8888888888889,zone_3,,,,
-120,-138.56406460551017,138.8888888888889,zone_3,,,,
-120,-103.92304845413263,138.8888888888889,zone_3,,,,
-120,-69.28203230275508,138.8888888888889,zone_3,,,,
-120,-34.64101615137754,138.8888888888889,zone_2,,,,
-120,0.0,138.8888888888889,zone_2,,,,
-120,34.64101615137754,138.8888888888889,zone_2,,,,
-120,69.28203230275508,138.8888888888889,zone_3,,,,
-120,103.92304845413263,138.8888888888889,zone_3,,,,
-120,138.56406460551017,138.8888888888889,zone_3,,,,
-100,-155.88457268119893,138.8888888888889,zone_3,,,,
-100,-121.2435565298214,138.8888888888889,zone_3,,,,
-100,-86.60254037844385,138.8888888888889,zone_3,,,,
-100,-51.96152422706631,138.8888888888889,zone_2,,,,
-100,-17.32050807568877,138.8888888888889,zone_2,,,,
-100,17.32050807568877,138.8888888888889,zone_2,,,,
-100,51.96152422706631,138.8888888888889,zone_2,,,,
-100,86.60254037844385,138.8888888888889,zone_3,,,,
-100,121.2435565298214,138.8888888888889,zone_3,,,,
-100,155.88457268119893,138.8888888888889,zone_3,,,,
-80,-173.2050807568877,138.8888888888889,zone_3,,,,
-80,-138.56406460551017,138.8888888888889,zone_3,,,,
-80,-103.92304845413263,138.8888888888889,zone_2,,,,
-80,-69.28203230275508,138.8888888888889,zone_2,,,,
-80,-34.64101615137754,138.8888888888889,zone_2,,,,
-80,0.0,138.8888888888889,zone_2,,,,
-80,34.64101615137754,138.8888888888889,zone_2,,,,
-80,69.28203230275508,138.8888888888889,zone_2,,,,
-80,103.92304845413263,138.8888888888889,zone_2,,,,
-80,138.56406460551017,138.8888888888889,zone_3,,,,
-80,173.2050807568877,138.8888888888889,zone_3,,,,
-60,-190.5255888325765,138.8888888888889,zone_3,,,,
-60,-155.88457268119893,138.8888888888889,zone_3,,,,
-60,-121.2435565298214,138.8888888888889,zone_3,,,,
-60,-86.60254037844385,138.8888888888889,zone_2,,,,
-60,-51.96152422706631,138.8888888888889,zone_2,,,,
-60,-17.32050807568877,138.8888888888889,zone_1,,,,
-60,17.32050807568877,138.8888888888889,zone_1,,,,
-60,51.96152422706631,138.8888888888889,zone_2,,,,
-60,86.60254037844385,138.8888888888889,zone_2,,,,
-60,121.2435565298214,138.8888888888889,zone_3,,,,
-60,155.88457268119893,138.8888888888889,zone_3,,,,
-60,190.52558883257646,138.8888888888889,zone_3,,,,
-40,-207.84609690826525,138.8888888888889,zone_3,,,,
-40,-173.2050807568877,138.8888888888889,zone_3,,,,
-40,-138.56406460551017,138.8888888888889,zone_3,,,,
-40,-103.92304845413263,138.8888888888889,zone_2,,,,
-40,-69.28203230275508,138.8888888888889,zone_2,,,,
-40,-34.64101615137754,138.8888888888889,zone_1,,,,
-40,0.0,138.8888888888889,zone_1,,,,
-40,34.64101615137754,138.8888888888889,zone_1,,,,
-40,69.28203230275508,138.8888888888889,zone_2,,,,
-40,103.92304845413263,138.8888888888889,zone_2,,,,
-40,138.56406460551017,138.8888888888889,zone_3,,,,
-40,173.2050807568877,138.8888888888889,zone_3,,,,
-40,207.84609690826525,138.8888888888889,zone_3,,,,
-20,-190.5255888325765,138.8888888888889,zone_3,,,,
-20,-155.88457268119893,138.8888888888889,zone_3,,,,
-20,-121.2435565298214,138.8888888888889,zone_2,,,,
-20,-86.60254037844385,138.8888888888889,zone_2,,,,
-20,-51.96152422706631,138.8888888888889,zone_1,,,,
-20,-17.32050807568877,138.8888888888889,zone_1,,,,
-20,17.32050807568877,138.8888888888889,zone_1,,,,
-20,51.96152422706631,138.8888888888889,zone_1,,,,
-20,86.60254037844385,138.8888888888889,zone_2,,,,
-20,121.2435565298214,138.8888888888889,zone_2,,,,
-20,155.88457268119893,138.8888888888889,zone_3,,,,
-20,190.52558883257646,138.8888888888889,zone_3,,,,
0,-207.84609690826525,138.8888888888889,zone_3,,,,
0,-173.2050807568877,138.8888888888889,zone_3,,,,
0,-138.56406460551017,138.8888888888889,zone_3,,,,
0,-103.92304845413263,138.8888888888889,zone_2,,,,
0,-69.28203230275508,138.8888888888889,zone_2,,,,
0,-34.64101615137754,138.8888888888889,zone_1,,,,
0,0.0,138.8888888888889,zone_1,,,,
0,34.64101615137754,138.8888888888889,zone_1,,,,
0,69.28203230275508,138.8888888888889,zone_2,,,,
0,103.92304845413263,138.8888888888889,zone_2,,,,
0,138.56406460551017,138.8888888888889,zone_3,,,,
0,173.2050807568877,138.8888888888889,zone_3,,,,
0,207.84609690826525,138.8888888888889,zone_3,,,,
20,-190.5255888325765,138.8888888888889,zone_3,,,,
20,-155.88457268119893,138.8888888888889,zone_3,,,,
20,-121.2435565298214,138.8888888888889,zone_2,,,,
20,-86.60254037844385,138.8888888888889,zone_2,,,,
20,-51.96152422706631,138.8888888888889,zone_1,,,,
20,-17.32050807568877,138.8888888888889,zone_1,,,,
20,17.32050807568877,138.8888888888889,zone_1,,,,
20,51.96152422706631,138.8888888888889,zone_1,,,,
20,86.60254037844385,138.8888888888889,zone_2,,,,
20,121.2435565298214,138.8888888888889,zone_2,,,,
20,155.88457268119893,138.8888888888889,zone_3,,,,
20,190.52558883257646,138.8888888888889,zone_3,,,,
40,-207.84609690826525,138.8888888888889,zone_3,,,,
40,-173.2050807568877,138.8888888888889,zone_3,,,,
40,-138.56406460551017,138.8888888888889,zone_3,,,,
40,-103.92304845413263,138.8888888888889,zone_2,,,,
40,-69.28203230275508,138.8888888888889,zone_2,,,,
40,-34.64101615137754,138.8888888888889,zone_1,,,,
40,0.0,138.8888888888889,zone_1,,,,
40,34.64101615137754,138.8888888888889,zone_1,,,,
40,69.28203230275508,138.8888888888889,zone_2,,,,
40,103.92304845413263,138.8888888888889,zone_2,,,,
40,138.56406460551017,138.8888888888889,zone_3,,,,
40,173.2050807568877,138.8888888888889,zone_3,,,,
40,207.84609690826525,138.8888888888889,zone_3,,,,
60,-190.5255888325765,138.8888888888889,zone_3,,,,
60,-155.88457268119893,138.8888888888889,zone_3,,,,
60,-121.2435565298214,138.8888888888889,zone_3,,,,
60,-86.60254037844385,138.8888888888889,zone_2,,,,
60,-51.96152422706631,138.8888888888889,zone_2,,,,
60,-17.32050807568877,138.8888888888889,zone_1,,,,
60,17.32050807568877,138.8888888888889,zone_1,,,,
60,51.96152422706631,138.8888888888889,zone_2,,,,
60,86.60254037844385,138.8888888888889,zone_2,,,,
60,121.2435565298214,138.8888888888889,zone_3,,,,
60,155.88457268119893,138.8888888888889,zone_3,,,,
60,190.52558883257646,138.8888888888889,zone_3,,,,
80,-173.2050807568877,138.8888888888889,zone_3,,,,
80,-138.56406460551017,138.8888888888889,zone_3,,,,
80,-103.92304845413263,138.8888888888889,zone_2,,,,
80,-69.28203230275508,138.8888888888889,zone_2,,,,
80,-34.64101615137754,138.8888888888889,zone_2,,,,
80,0.0,138.8888888888889,zone_2,,,,
80,34.64101615137754,138.8888888888889,zone_2,,,,
80,69.28203230275508,138.8888888888889,zone_2,,,,
80,103.92304845413263,138.8888888888889,zone_2,,,,
80,138.56406460551017,138.8888888888889,zone_3,,,,
80,173.2050807568877,138.8888888888889,zone_3,,,,
100,-155.88457268119893,138.8888888888889,zone_3,,,,
100,-121.2435565298214,138.8888888888889,zone_3,,,,
100,-86.60254037844385,138.8888888888889,zone_3,,,,
100,-51.96152422706631,138.8888888888889,zone_2,,,,
100,-17.32050807568877,138.8888888888889,zone_2,,,,
100,17.32050807568877,138.8888888888889,zone_2,,,,
100,51.96152422706631,138.8888888888889,zone_2,,,,
100,86.60254037844385,138.8888888888889,zone_3,,,,
100,121.2435565298214,138.8888888888889,zone_3,,,,
100,155.88457268119893,138.8888888888889,zone_3,,,,
120,-138.56406460551017,138.8888888888889,zone_3,,,,
120,-103.92304845413263,138.8888888888889,zone_3,,,,
120,-69.28203230275508,138.8888888888889,zone_3,,,,
120,-34.64101615137754,138.8888888888889,zone_2,,,,
120,0.0,138.8888888888889,zone_2,,,,
120,34.64101615137754,138.8888888888889,zone_2,,,,
120,69.28203230275508,138.8888888888889,zone_3,,,,
120,103.92304845413263,138.8888888888889,zone_3,,,,
120,138.56406460551017,138.8888888888889,zone_3,,,,
140,-121.2435565298214,138.8888888888889,zone_3,,,,
140,-86.60254037844385,138.8888888888889,zone_3,,,,
140,-51.96152422706631,138.8888888888889,zone_3,,,,
140,-17.32050807568877,138.8888888888889,zone_3,,,,
140,17.32050807568877,138.8888888888889,zone_3,,,,
140,51.96152422706631,138.8888888888889,zone_3,,,,
140,86.60254037844385,138.8888888888889,zone_3,,,,
140,121.2435565298214,138.8888888888889,zone_3,,,,
160,-138.56406460551017,138.8888888888889,zone_3,,,,
160,-103.92304845413263,138.8888888888889,zone_3,,,,
160,-69.28203230275508,138.8888888888889,zone_3,,,,
160,-34.64101615137754,138.8888888888889,zone_3,,,,
160,0.0,138.8888888888889,zone_3,,,,
160,34.64101615137754,138.8888888888889,zone_3,,,,
160,69.28203230275508,138.8888888888889,zone_3,,,,
160,103.92304845413263,138.8888888888889,zone_3,,,,
160,138.56406460551017,138.8888888888889,zone_3,,,,
180,-121.2435565298214,138.8888888888889,zone_3,,,,
180,-86.60254037844385,138.8888888888889,zone_3,,,,
180,-51.96152422706631,138.8888888888889,zone_3,,,,
180,-17.32050807568877,138.8888888888889,zone_3,,,,
180,17.32050807568877,138.8888888888889,zone_3,,,,
180,51.96152422706631,138.8888888888889,zone_3,,,,
180,86.60254037844385,138.8888888888889,zone_3,,,,
180,121.2435565298214,138.8888888888889,zone_3,,,,
200,-103.92304845413263,138.8888888888889,zone_3,,,,
200,-69.28203230275508,138.8888888888889,zone_3,,,,
200,-34.64101615137754,138.8888888888889,zone_3,,,,
200,0.0,138.8888888888889,zone_3,,,,
200,34.64101615137754,138.8888888888889,zone_3,,,,
200,69.28203230275508,138.8888888888889,zone_3,,,,
200,103.92304845413263,138.8888888888889,zone_3,,,,
-200,-103.92304845413263,194.44444444444446,zone_3,,,,
-200,-69.28203230275508,194.44444444444446,zone_3,,,,
-200,-34.64101615137754,194.44444444444446,zone_3,,,,
-200,0.0,194.44444444444446,zone_3,,,,
-200,34.64101615137754,194.44444444444446,zone_3,,,,
-200,69.28203230275508,194.44444444444446,zone_3,,,,
-200,103.92304845413263,194.44444444444446,zone_3,,,,
-180,-121.2435565298214,194.44444444444446,zone_3,,,,
-180,-86.60254037844385,194.44444444444446,zone_3,,,,
-180,-51.96152422706631,194.44444444444446,zone_3,,,,
-180,-17.32050807568877,194.44444444444446,zone_3,,,,
-180,17.32050807568877,194.44444444444446,zone_3,,,,
-180,51.96152422706631,194.44444444444446,zone_3,,,,
-180,86.60254037844385,194.44444444444446,zone_3,,,,
-180,121.2435565298214,194.44444444444446,zone_3,,,,
-160,-138.56406460551017,194.44444444444446,zone_3,,,,
-160,-103.92304845413263,194.44444444444446,zone_3,,,,
-160,-69.28203230275508,194.44444444444446,zone_3,,,,
-160,-34.64101615137754,194.44444444444446,zone_3,,,,
-160,0.0,194.44444444444446,zone_3,,,,
-160,34.64101615137754,194.44444444444446,zone_3,,,,
-160,69.28203230275508,194.44444444444446,zone_3,,,,
-160,103.92304845413263,194.44444444444446,zone_3,,,,
-160,138.56406460551017,194.44444444444446,zone_3,,,,
-140,-121.2435565298214,194.44444444444446,zone_3,,,,
-140,-86.60254037844385,194.44444444444446,zone_3,,,,
-140,-51.96152422706631,194.44444444444446,zone_3,,,,
-140,-17.32050807568877,194.44444444444446,zone_3,,,,
-140,17.32050807568877,194.44444444444446,zone_3,,,,
-140,51.96152422706631,194.44444444444446,zone_3,,,,
-140,86.60254037844385,194.44444444444446,zone_3,,,,
-140,121.2435565298214,194.44444444444446,zone_3,,,,
-120,-138.56406460551017,194.44444444444446,zone_3,,,,
-120,-103.92304845413263,194.44444444444446,zone_3,,,,
-120,-69.28203230275508,194.44444444444446,zone_3,,,,
-120,-34.64101615137754,194.44444444444446,zone_2,,,,
-120,0.0,194.44444444444446,zone_2,,,,
-120,34.64101615137754,194.44444444444446,zone_2,,,,
-120,69.28203230275508,194.44444444444446,zone_3,,,,
-120,103.92304845413263,194.44444444444446,zone_3,,,,
-120,138.56406460551017,194.44444444444446,zone_3,,,,
-100,-155.88457268119893,194.44444444444446,zone_3,,,,
-100,-121.2435565298214,194.44444444444446,zone_3,,,,
-100,-86.60254037844385,194.44444444444446,zone_3,,,,
-100,-51.96152422706631,194.44444444444446,zone_2,,,,
-100,-17.32050807568877,194.44444444444446,zone_2,,,,
-100,17.32050807568877,194.44444444444446,zone_2,,,,
-100,51.96152422706631,194.44444444444446,zone_2,,,,
-100,86.60254037844385,194.44444444444446,zone_3,,,,
-100,121.2435565298214,194.44444444444446,zone_3,,,,
-100,155.88457268119893,194.44444444444446,zone_3,,,,
-80,-173.2050807568877,194.44444444444446,zone_3,,,,
-80,-138.56406460551017,194.44444444444446,zone_3,,,,
-80,-103.92304845413263,194.44444444444446,zone_2,,,,
-80,-69.28203230275508,194.44444444444446,zone_2,,,,
-80,-34.64101615137754,194.44444444444446,zone_2,,,,
-80,0.0,194.44444444444446,zone_2,,,,
-80,34.64101615137754,194.44444444444446,zone_2,,,,
-80,69.28203230275508,194.44444444444446,zone_2,,,,
-80,103.92304845413263,194.44444444444446,zone_2,,,,
-80,138.56406460551017,194.44444444444446,zone_3,,,,
-80,173.2050807568877,194.44444444444446,zone_3,,,,
-60,-190.5255888325765,194.44444444444446,zone_3,,,,
-60,-155.88457268119893,194.44444444444446,zone_3,,,,
-60,-121.2435565298214,194.44444444444446,zone_3,,,,
-60,-86.60254037844385,194.44444444444446,zone_2,,,,
-60,-51.96152422706631,194.44444444444446,zone_2,,,,
-60,-17.32050807568877,194.44444444444446,zone_1,,,,
-60,17.32050807568877,194.44444444444446,zone_1,,,,
-60,51.96152422706631,194.44444444444446,zone_2,,,,
-60,86.60254037844385,194.44444444444446,zone_2,,,,
-60,121.2435565298214,194.44444444444446,zone_3,,,,
-60,155.88457268119893,194.44444444444446,zone_3,,,,
-60,190.52558883257646,194.44444444444446,zone_3,,,,
-40,-207.84609690826525,194.44444444444446,zone_3,,,,
-40,-173.2050807568877,194.44444444444446,zone_3,,,,
-40,-138.56406460551017,194.44444444444446,zone_3,,,,
-40,-103.92304845413263,194.44444444444446,zone_2,,,,
-40,-69.28203230275508,194.44444444444446,zone_2,,,,
-40,-34.64101615137754,194.44444444444446,zone_1,,,,
-40,0.0,194.44444444444446,zone_1,,,,
-40,34.64101615137754,194.44444444444446,zone_1,,,,
-40,69.28203230275508,194.44444444444446,zone_2,,,,
-40,103.92304845413263,194.44444444444446,zone_2,,,,
-40,138.56406460551017,194.44444444444446,zone_3,,,,
-40,173.2050807568877,194.44444444444446,zone_3,,,,
-40,207.84609690826525,194.44444444444446,zone_3,,,,
-20,-190.5255888325765,194.44444444444446,zone_3,,,,
-20,-155.88457268119893,194.44444444444446,zone_3,,,,
-20,-121.2435565298214,194.44444444444446,zone_2,,,,
-20,-86.60254037844385,194.44444444444446,zone_2,,,,
-20,-51.96152422706631,194.44444444444446,zone_1,,,,
-20,-17.32050807568877,194.44444444444446,zone_1,,,,
-20,17.32050807568877,194.44444444444446,zone_1,,,,
-20,51.96152422706631,194.44444444444446,zone_1,,,,
-20,86.60254037844385,194.44444444444446,zone_2,,,,
-20,121.2435565298214,194.44444444444446,zone_2,,,,
-20,155.88457268119893,194.44444444444446,zone_3,,,,
-20,190.52558883257646,194.44444444444446,zone_3,,,,
0,-207.84609690826525,194.44444444444446,zone_3,,,,
0,-173.2050807568877,194.44444444444446,zone_3,,,,
0,-138.56406460551017,194.44444444444446,zone_3,,,,
0,-103.92304845413263,194.44444444444446,zone_2,,,,
0,-69.28203230275508,194.44444444444446,zone_2,,,,
0,-34.64101615137754,194.44444444444446,zone_1,,,,
0,0.0,194.44444444444446,zone_1,,,,
0,34.64101615137754,194.44444444444446,zone_1,,,,
0,69.28203230275508,194.44444444444446,zone_2,,,,
0,103.92304845413263,194.44444444444446,zone_2,,,,
0,138.56406460551017,194.44444444444446,zone_3,,,,
0,173.2050807568877,194.44444444444446,zone_3,,,,
0,207.84609690826525,194.44444444444446,zone_3,,,,
20,-190.5255888325765,194.44444444444446,zone_3,,,,
20,-155.88457268119893,194.44444444444446,zone_3,,,,
20,-121.2435565298214,194.44444444444446,zone_2,,,,
20,-86.60254037844385,194.44444444444446,zone_2,,,,
20,-51.96152422706631,194.44444444444446,zone_1,,,,
20,-17.32050807568877,194.44444444444446,zone_1,,,,
20,17.32050807568877,194.44444444444446,zone_1,,,,
20,51.96152422706631,194.44444444444446,zone_1,,,,
20,86.60254037844385,194.44444444444446,zone_2,,,,
20,121.2435565298214,194.44444444444446,zone_2,,,,
20,155.88457268119893,194.44444444444446,zone_3,,,,
20,190.52558883257646,194.44444444444446,zone_3,,,,
40,-207.84609690826525,194.44444444444446,zone_3,,,,
40,-173.2050807568877,194.44444444444446,zone_3,,,,
40,-138.56406460551017,194.44444444444446,zone_3,,,,
40,-103.92304845413263,194.44444444444446,zone_2,,,,
40,-69.28203230275508,194.44444444444446,zone_2,,,,
40,-34.64101615137754,194.44444444444446,zone_1,,,,
40,0.0,194.44444444444446,zone_1,,,,
40,34.64101615137754,194.44444444444446,zone_1,,,,
40,69.28203230275508,194.44444444444446,zone_2,,,,
40,103.92304845413263,194.44444444444446,zone_2,,,,
40,138.56406460551017,194.44444444444446,zone_3,,,,
40,173.2050807568877,194.44444444444446,zone_3,,,,
40,207.84609690826525,194.44444444444446,zone_3,,,,
60,-190.5255888325765,194.44444444444446,zone_3,,,,
60,-155.88457268119893,194.44444444444446,zone_3,,,,
60,-121.2435565298214,194.44444444444446,zone_3,,,,
60,-86.60254037844385,194.44444444444446,zone_2,,,,
60,-51.96152422706631,194.44444444444446,zone_2,,,,
60,-17.32050807568877,194.44444444444446,zone_1,,,,
60,17.32050807568877,194.44444444444446,zone_1,,,,
60,51.96152422706631,194.44444444444446,zone_2,,,,
60,86.60254037844385,194.44444444444446,zone_2,,,,
60,121.2435565298214,194.44444444444446,zone_3,,,,
60,155.88457268119893,194.44444444444446,zone_3,,,,
60,190.52558883257646,194.44444444444446,zone_3,,,,
80,-173.2050807568877,194.44444444444446,zone_3,,,,
80,-138.56406460551017,194.44444444444446,zone_3,,,,
80,-103.92304845413263,194.44444444444446,zone_2,,,,
80,-69.28203230275508,194.44444444444446,zone_2,,,,
80,-34.64101615137754,194.44444444444446,zone_2,,,,
80,0.0,194.44444444444446,zone_2,,,,
80,34.64101615137754,194.44444444444446,zone_2,,,,
80,69.28203230275508,194.44444444444446,zone_2,,,,
80,103.92304845413263,194.44444444444446,zone_2,,,,
80,138.56406460551017,194.44444444444446,zone_3,,,,
80,173.2050807568877,194.44444444444446,zone_3,,,,
100,-155.88457268119893,194.44444444444446,zone_3,,,,
100,-121.2435565298214,194.44444444444446,zone_3,,,,
100,-86.60254037844385,194.44444444444446,zone_3,,,,
100,-51.96152422706631,194.44444444444446,zone_2,,,,
100,-17.32050807568877,194.44444444444446,zone_2,,,,
100,17.32050807568877,194.44444444444446,zone_2,,,,
100,51.96152422706631,194.44444444444446,zone_2,,,,
100,86.60254037844385,194.44444444444446,zone_3,,,,
100,121.2435565298214,194.44444444444446,zone_3,,,,
100,155.88457268119893,194.44444444444446,zone_3,,,,
120,-138.56406460551017,194.44444444444446,zone_3,,,,
120,-103.92304845413263,194.44444444444446,zone_3,,,,
120,-69.28203230275508,194.44444444444446,zone_3,,,,
120,-34.64101615137754,194.44444444444446,zone_2,,,,
120,0.0,194.44444444444446,zone_2,,,,
120,34.64101615137754,194.44444444444446,zone_2,,,,
120,69.28203230275508,194.44444444444446,zone_3,,,,
120,103.92304845413263,194.44444444444446,zone_3,,,,
120,138.56406460551017,194.44444444444446,zone_3,,,,
140,-121.2435565298214,194.44444444444446,zone_3,,,,
140,-86.60254037844385,194.44444444444446,zone_3,,,,
140,-51.96152422706631,194.44444444444446,zone_3,,,,
140,-17.32050807568877,194.44444444444446,zone_3,,,,
140,17.32050807568877,194.44444444444446,zone_3,,,,
140,51.96152422706631,194.44444444444446,zone_3,,,,
140,86.60254037844385,194.44444444444446,zone_3,,,,
140,121.2435565298214,194.44444444444446,zone_3,,,,
160,-138.56406460551017,194.44444444444446,zone_3,,,,
160,-103.92304845413263,194.44444444444446,zone_3,,,,
160,-69.28203230275508,194.44444444444446,zone_3,,,,
160,-34.64101615137754,194.44444444444446,zone_3,,,,
160,0.0,194.44444444444446,zone_3,,,,
160,34.64101615137754,194.44444444444446,zone_3,,,,
160,69.28203230275508,194.44444444444446,zone_3,,,,
160,103.92304845413263,194.44444444444446,zone_3,,,,
160,138.56406460551017,194.44444444444446,zone_3,,,,
180,-121.2435565298214,194.44444444444446,zone_3,,,,
180,-86.60254037844385,194.44444444444446,zone_3,,,,
180,-51.96152422706631,194.44444444444446,zone_3,,,,
180,-17.32050807568877,194.44444444444446,zone_3,,,,
180,17.32050807568877,194.44444444444446,zone_3,,,,
180,51.96152422706631,194.44444444444446,zone_3,,,,
180,86.60254037844385,194.44444444444446,zone_3,,,,
180,121.2435565298214,194.44444444444446,zone_3,,,,
200,-103.92304845413263,194.44444444444446,zone_3,,,,
200,-69.28203230275508,194.44444444444446,zone_3,,,,
200,-34.64101615137754,194.44444444444446,zone_3,,,,
200,0.0,194.44444444444446,zone_3,,,,
200,34.64101615137754,194.44444444444446,zone_3,,,,
200,69.28203230275508,194.44444444444446,zone_3,,,,
200,103.92304845413263,194.44444444444446,zone_3,,,,
-200,-103.92304845413263,250.0,zone_3,,,,
-200,-69.28203230275508,250.0,zone_3,,,,
-200,-34.64101615137754,250.0,zone_3,,,,
-200,0.0,250.0,zone_3,,,,
-200,34.64101615137754,250.0,zone_3,,,,
-200,69.28203230275508,250.0,zone_3,,,,
-200,103.92304845413263,250.0,zone_3,,,,
-180,-121.2435565298214,250.0,zone_3,,,,
-180,-86.60254037844385,250.0,zone_3,,,,
-180,-51.96152422706631,250.0,zone_3,,,,
-180,-17.32050807568877,250.0,zone_3,,,,
-180,17.32050807568877,250.0,zone_3,,,,
-180,51.96152422706631,250.0,zone_3,,,,
-180,86.60254037844385,250.0,zone_3,,,,
-180,121.2435565298214,250.0,zone_3,,,,
-160,-138.56406460551017,250.0,zone_3,,,,
-160,-103.92304845413263,250.0,zone_3,,,,
-160,-69.28203230275508,250.0,zone_3,,,,
-160,-34.64101615137754,250.0,zone_3,,,,
-160,0.0,250.0,zone_3,,,,
-160,34.64101615137754,250.0,zone_3,,,,
-160,69.28203230275508,250.0,zone_3,,,,
-160,103.92304845413263,250.0,zone_3,,,,
-160,138.56406460551017,250.0,zone_3,,,,
-140,-121.2435565298214,250.0,zone_3,,,,
-140,-86.60254037844385,250.0,zone_3,,,,
-140,-51.96152422706631,250.0,zone_3,,,,
-140,-17.32050807568877,250.0,zone_3,,,,
-140,17.32050807568877,250.0,zone_3,,,,
-140,51.96152422706631,250.0,zone_3,,,,
-140,86.60254037844385,250.0,zone_3,,,,
-140,121.2435565298214,250.0,zone_3,,,,
-120,-138.56406460551017,250.0,zone_3,,,,
-120,-103.92304845413263,250.0,zone_3,,,,
-120,-69.28203230275508,250.0,zone_3,,,,
-120,-34.64101615137754,250.0,zone_2,,,,
-120,0.0,250.0,zone_2,,,,
-120,34.64101615137754,250.0,zone_2,,,,
-120,69.28203230275508,250.0,zone_3,,,,
-120,103.92304845413263,250.0,zone_3,,,,
-120,138.56406460551017,250.0,zone_3,,,,
-100,-155.88457268119893,250.0,zone_3,,,,
-100,-121.2435565298214,250.0,zone_3,,,,
-100,-86.60254037844385,250.0,zone_3,,,,
-100,-51.96152422706631,250.0,zone_2,,,,
-100,-17.32050807568877,250.0,zone_2,,,,
-100,17.32050807568877,250.0,zone_2,,,,
-100,51.96152422706631,250.0,zone_2,,,,
-100,86.60254037844385,250.0,zone_3,,,,
-100,121.2435565298214,250.0,zone_3,,,,
-100,155.88457268119893,250.0,zone_3,,,,
-80,-173.2050807568877,250.0,zone_3,,,,
-80,-138.56406460551017,250.0,zone_3,,,,
-80,-103.92304845413263,250.0,zone_2,,,,
-80,-69.28203230275508,250.0,zone_2,,,,
-80,-34.64101615137754,250.0,zone_2,,,,
-80,0.0,250.0,zone_2,,,,
-80,34.64101615137754,250.0,zone_2,,,,
-80,69.28203230275508,250.0,zone_2,,,,
-80,103.92304845413263,250.0,zone_2,,,,
-80,138.56406460551017,250.0,zone_3,,,,
-80,173.2050807568877,250.0,zone_3,,,,
-60,-190.5255888325765,250.0,zone_3,,,,
-60,-155.88457268119893,250.0,zone_3,,,,
-60,-121.2435565298214,250.0,zone_3,,,,
-60,-86.60254037844385,250.0,zone_2,,,,
-60,-51.96152422706631,250.0,zone_2,,,,
-60,-17.32050807568877,250.0,zone_1,,,,
-60,17.32050807568877,250.0,zone_1,,,,
-60,51.96152422706631,250.0,zone_2,,,,
-60,86.60254037844385,250.0,zone_2,,,,
-60,121.2435565298214,250.0,zone_3,,,,
-60,155.88457268119893,250.0,zone_3,,,,
-60,190.52558883257646,250.0,zone_3,,,,
-40,-207.84609690826525,250.0,zone_3,,,,
-40,-173.2050807568877,250.0,zone_3,,,,
-40,-138.56406460551017,250.0,zone_3,,,,
-40,-103.92304845413263,250.0,zone_2,,,,
-40,-69.28203230275508,250.0,zone_2,,,,
-40,-34.64101615137754,250.0,zone_1,,,,
-40,0.0,250.0,zone_1,,,,
-40,34.64101615137754,250.0,zone_1,,,,
-40,69.28203230275508,250.0,zone_2,,,,
-40,103.92304845413263,250.0,zone_2,,,,
-40,138.56406460551017,250.0,zone_3,,,,
-40,173.2050807568877,250.0,zone_3,,,,
-40,207.84609690826525,250.0,zone_3,,,,
-20,-190.5255888325765,250.0,zone_3,,,,
-20,-155.88457268119893,250.0,zone_3,,,,
-20,-121.2435565298214,250.0,zone_2,,,,
-20,-86.60254037844385,250.0,zone_2,,,,
-20,-51.96152422706631,250.0,zone_1,,,,
-20,-17.32050807568877,250.0,zone_1,,,,
-20,17.32050807568877,250.0,zone_1,,,,
-20,51.96152422706631,250.0,zone_1,,,,
-20,86.60254037844385,250.0,zone_2,,,,
-20,121.2435565298214,250.0,zone_2,,,,
-20,155.88457268119893,250.0,zone_3,,,,
-20,190.52558883257646,250.0,zone_3,,,,
0,-207.84609690826525,250.0,zone_3,,,,
0,-173.2050807568877,250.0,zone_3,,,,
0,-138.56406460551017,250.0,zone_3,,,,
0,-103.92304845413263,250.0,zone_2,,,,
0,-69.28203230275508,250.0,zone_2,,,,
0,-34.64101615137754,250.0,zone_1,,,,
0,0.0,250.0,zone_1,,,,
0,34.64101615137754,250.0,zone_1,,,,
0,69.28203230275508,250.0,zone_2,,,,
0,103.92304845413263,250.0,zone_2,,,,
0,138.56406460551017,250.0,zone_3,,,,
0,173.2050807568877,250.0,zone_3,,,,
0,207.84609690826525,250.0,zone_3,,,,
20,-190.5255888325765,250.0,zone_3,,,,
20,-155.88457268119893,250.0,zone_3,,,,
20,-121.2435565298214,250.0,zone_2,,,,
20,-86.60254037844385,250.0,zone_2,,,,
20,-51.96152422706631,250.0,zone_1,,,,
20,-17.32050807568877,250.0,zone_1,,,,
